graph_id,vertices,edges,prim_cost,kruskal_cost,prim_ms,kruskal_ms,prim_ops,kruskal_ops
16,350,6107,748,748,9.364,6.324,6958,10145
17,400,7980,848,848,5.948,2.487,9474,15123
18,500,12475,849,849,6.960,2.836,14638,23235
19,600,17970,919,919,9.379,3.825,19976,28553
20,700,24465,986,986,11.256,4.402,26890,36321
