graph_id,vertices,edges,prim_cost,kruskal_cost,prim_ms,kruskal_ms,prim_ops,kruskal_ops
6,40,156,302,302,2.951,1.139,227,479
7,60,354,290,290,0.413,0.368,448,783
8,80,632,368,368,0.594,0.602,780,1344
9,100,990,322,322,0.790,0.822,1212,2009
10,150,2235,359,359,1.883,1.602,2556,3745
11,200,3980,457,457,2.677,1.713,4733,7347
12,220,4818,425,425,3.052,1.045,5395,7699
13,250,6225,427,427,4.147,1.597,6876,9370
14,270,7263,473,473,3.518,1.506,8093,11354
15,300,8970,457,457,2.919,1.623,10076,14137
