graph_id,vertices,edges,prim_cost,kruskal_cost,prim_ms,kruskal_ms,prim_ops,kruskal_ops
26,1200,35970,1852,1852,30.135,13.015,40703,58284
27,1500,56212,2029,2029,39.301,13.481,61507,82460
28,2000,99950,2365,2365,41.845,15.429,107140,136869
