graph_id,vertices,edges,prim_cost,kruskal_cost,prim_ms,kruskal_ms,prim_ops,kruskal_ops
21,800,31960,1060,1060,27.380,22.771,35546,49684
22,900,40455,1126,1126,17.796,7.583,44029,58163
23,950,45077,1144,1144,22.398,6.668,48573,62502
24,1000,49950,1176,1176,22.654,7.350,54545,71285
25,1000,49950,1182,1182,23.384,6.030,52717,64048
